"","REGION","PRIMARY_SAMPLE_UNIT","STATION_NR","YEAR","MONTH","DAY","HABITAT_CD","STRAT","RUGOSITY_CD","WTD_RUG","LAT_DEGREES","LON_DEGREES","MAPGRID_NR","SUB_REGION_NAME","SUB_REGION_NR","ZONE_NAME","ZONE_NR","MPA_NAME","MPA_NR","ADMIN","PROT","DEPTH_STRAT","MIN_DEPTH","MAX_DEPTH","METERS_COMPLETED","SPECIES_CD","SPECIES_NAME","N","JUV","MAX_DIAMETER","PERP_DIAMETER","HEIGHT","OLD_MORT","RECENT_MORT","BLEACH_CONDITION","DISEASE","SURVEY","SurveyCode","MilSortCode","BleachingPresAbs"
"16","FLK","73",172,2005,8,22,"SPGR_LR","FMLR",NA,NA,25.3883,-80.13338,1969450,"Biscayne",12,"Forereef",4,"BISC_MRZ",27,NA,1,NA,29.52756,29.52756,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"DRM","2005-8-22-73","2005-8-22-73-172",1
"17","FLK","75",174,2005,8,22,"SPGR_LR","FMLR",NA,NA,25.5791,-80.09177,2002375,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,NA,45.93176,45.93176,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"DRM","2005-8-22-75","2005-8-22-75-174",1
"18","FLK","76",176,2005,8,22,"SPGR_LR","FMLR",NA,NA,25.37572,-80.13933,1966356,"Biscayne",12,"Forereef",4,"BISC_MRZ",27,NA,1,NA,32.8084,32.8084,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"DRM","2005-8-22-76","2005-8-22-76-176",1
"19","FLK","77",178,2005,8,22,"SPGR_LR","FMLR",NA,NA,25.60428,-80.09375,2005764,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,NA,21.9816273733596,21.9816273733596,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"DRM","2005-8-22-77","2005-8-22-77-178",1
"20","FLK","93",220,2005,8,22,"CONT_LR","FMLR",NA,NA,25.45795,-80.13125,1983526,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,NA,19.68504,19.68504,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"DRM","2005-8-22-93","2005-8-22-93-220",1
"21","FLK","96",226,2005,8,22,"ISOL_MR","MCPR",NA,NA,25.39873,-80.16097,1971796,"Biscayne",12,"Mid Channel",2,"BISC_MRZ",27,NA,1,NA,9.84252,9.84252,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"DRM","2005-8-22-96","2005-8-22-96-226",1
"22","SEFCRI","1",1,2005,8,22,"LIRI","INNR0",0,NA,25.79959,-80.09557,505527,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,45.93176,45.93176,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"DRM","2005-8-22-1","2005-8-22-1-1",1
"23","SEFCRI","16",37,2005,8,22,"LIRO","OFFR1",1,NA,25.7778,-80.09034,513733,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,39.0419947532808,39.0419947532808,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"DRM","2005-8-22-16","2005-8-22-16-37",1
"24","SEFCRI","2",3,2005,8,22,"LIRI","INNR0",0,NA,25.79785,-80.09763,506181,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,34.1207347532808,34.1207347532808,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"DRM","2005-8-22-2","2005-8-22-2-3",1
"25","SEFCRI","78",180,2005,8,22,"LIRM","MIDR1",1,NA,25.8247,-80.09069,496676,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,54.13386,54.13386,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"DRM","2005-8-22-78","2005-8-22-78-180",1
"26","FLK","72",170,2005,8,23,"CONT_LR","FMLR",NA,NA,25.67808,-80.08978,2015862,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,NA,36.08924,36.08924,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"DRM","2005-8-23-72","2005-8-23-72-170",1
"27","FLK","94",222,2005,8,23,"CONT_LR","FMLR",NA,NA,25.70033,-80.09688,2018605,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,NA,27.88714,27.88714,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"DRM","2005-8-23-94","2005-8-23-94-222",1
"28","FLK","95",224,2005,8,23,"CONT_LR","OFPR",NA,NA,25.6749,-80.09842,2015413,"Biscayne",12,"Offshore Patch Reef",3,"Unprotected",0,NA,0,NA,36.08924,36.08924,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"DRM","2005-8-23-95","2005-8-23-95-224",1
"29","SEFCRI","12",29,2005,8,23,"LIRI","INNR1",1,NA,25.9422,-80.10057,454025,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,37.0734926233596,37.0734926233596,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"DRM","2005-8-23-12","2005-8-23-12-29",1
"30","SEFCRI","14",33,2005,8,23,"RGSH","NEAR0",0,NA,25.88658,-80.11052,474024,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,27.88714,27.88714,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"DRM","2005-8-23-14","2005-8-23-14-33",1
"31","SEFCRI","15",35,2005,8,23,"SPGR","OFFR1",1,NA,25.86248,-80.08737,482903,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,77.09974,77.09974,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"DRM","2005-8-23-15","2005-8-23-15-35",1
"32","SEFCRI","18",41,2005,8,23,"SPGR","OFFR1",1,NA,25.90217,-80.08797,468470,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,64.9606295065616,64.9606295065616,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"DRM","2005-8-23-18","2005-8-23-18-41",1
"33","SEFCRI","20",45,2005,8,23,"LIRO","OFFR1",1,NA,25.84086,-80.08813,490774,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,46.9160126233596,46.9160126233596,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"DRM","2005-8-23-20","2005-8-23-20-45",1
"34","SEFCRI","82",189,2005,8,23,"LIRO","OFFR1",1,NA,25.8422,-80.0881,490118,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,46.9160126233596,46.9160126233596,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"DRM","2005-8-23-82","2005-8-23-82-189",1
"35","FLK","69",166,2005,8,31,"SPGR_LR","FSLR",NA,NA,25.42251,-80.12545,1977030,"Biscayne",12,"Forereef",4,"BISC_MRZ",27,NA,1,NA,12.1391081574803,12.1391081574803,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"DRM","2005-8-31-69","2005-8-31-69-166",1
"36","FLK","80",186,2005,8,31,"ISOL_MR","MCPR",NA,NA,25.41002,-80.15696,1974476,"Biscayne",12,"Mid Channel",2,"BISC_MRZ",27,NA,1,NA,7.8740163116798,7.8740163116798,10,"ACR CERV","Acropora cervicornis",1,0,25,20,15,0,0,"P","A","DRM","2005-8-31-80","2005-8-31-80-186",1
"37","SEFCRI","81",187,2005,8,31,"LIRI","INNR0",0,NA,25.8422,-80.104,490102,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,56.7585295065616,56.7585295065616,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"DRM","2005-8-31-81","2005-8-31-81-187",1
"38","FLK","71",169,2005,9,1,"CONT_LR","FMLR",NA,NA,25.57718,-80.10141,2002121,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,NA,20.0131236883202,20.0131236883202,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"DRM","2005-9-1-71","2005-9-1-71-169",1
"39","FLK","74",173,2005,9,1,"SPGR_LR","FDLR",NA,NA,25.5395,-80.09573,1996863,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,NA,69.8818895065616,69.8818895065616,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"DRM","2005-9-1-74","2005-9-1-74-173",1
"40","SEFCRI","17",39,2005,9,2,"LIRO","OFFR1",1,NA,25.96983,-80.08967,443868,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,58.0708704934384,60.0393695065616,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"DRM","2005-9-2-17","2005-9-2-17-39",1
"41","SEFCRI","7",13,2005,9,2,"CPSH","NEAR0",0,NA,25.96607,-80.11376,445156,"Broward-Miami",13,NA,NA,NA,0,NA,0,NA,18.04462,19.0288726266404,10,"ACR CERV","Acropora cervicornis",1,0,16,15,10,0,0,"N","A","DRM","2005-9-2-7","2005-9-2-7-13",1
"42","FLK","5251486",1,2005,NA,NA,"SAND_NA","OFPR",NA,NA,25.3008,-80.19312,1946145,"Biscayne",12,"Offshore Patch Reef",3,"Unprotected",0,NA,0,NA,2.694431914,2.785871911,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2005-NA-NA-5251486","2005-NA-NA-5251486-1",1
"43","FLK","5261485",1,2005,NA,NA,"ISOL_MR","OFPR",NA,NA,25.30207,-80.1958,1946412,"Biscayne",12,"Offshore Patch Reef",3,"Unprotected",0,NA,0,NA,2.231135929,2.599943917,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2005-NA-NA-5261485","2005-NA-NA-5261485-1",1
