"","PRIMARY_SAMPLE_UNIT","YEAR","MONTH","DAY","LAT_DEGREES","LON_DEGREES"
"122",3078,2016,9,27,"25.9275","-80.0999"
"123",3083,2016,9,29,"25.8377","-80.0995"
"124",3085,2018,9,19,"25.9054","-80.0908"
"125",3089,2016,9,29,"25.7697","-80.0883"
"126",3097,2018,9,7,"25.8221","-80.0912"
"127",3101,2020,10,30,"25.9322","-80.1002"
"128",3105,2016,9,29,"25.8614","-80.0926"
"129",3109,2018,11,7,"25.877","-80.0924"
"130",3110,2018,11,5,"25.8716","-80.0925"
"131",3112,2020,8,21,"25.8257","-80.0977"
"132",3117,2018,8,14,"25.7994","-80.0926"
"133",3118,2022,8,12,"25.8603","-80.0926"
"134",3121,2020,10,30,"25.9081","-80.0918"
"135",3125,2020,9,2,"25.8568","-80.0921"
"136",3129,2022,6,21,"25.7709","-80.1109"
"137",3131,2022,8,8,"25.7873","-80.1071"
"138",3133,2020,8,27,"25.8536","-80.1076"
"139",3134,2022,8,8,"25.7953","-80.0996"
"140",3136,2018,10,23,"25.8887","-80.1073"
"141",3137,2020,12,7,"25.9502","-80.1093"
"142",3138,2020,12,7,"25.9514","-80.1102"
"143",3138,2022,8,16,"25.8117","-80.1094"
"144",3140,2022,8,8,"25.7868","-80.1027"
"145",3143,2014,10,20,"25.9167","-80.0919"
"146",3143,2022,8,16,"25.9145","-80.1154"
"147",3144,2014,10,20,"25.915","-80.0986"
"148",3145,2014,10,22,"25.9019","-80.0997"
"149",3146,2014,10,22,"25.8991","-80.0922"
"150",3147,2014,10,22,"25.8978","-80.0997"
"151",3148,2014,9,17,"25.835","-80.0923"
"152",3148,2020,8,27,"25.8848","-80.1088"
"153",3148,2022,8,16,"25.8003","-80.108"
"154",3149,2014,9,17,"25.7894","-80.0931"
"155",3149,2022,8,16,"25.8992","-80.1058"
"156",3150,2016,9,29,"25.7882","-80.0881"
"157",3150,2022,6,28,"25.9133","-80.1022"
"158",3152,2020,9,2,"25.795","-80.1125"
"159",3153,2020,10,30,"25.8648","-80.1105"
"160",3159,2020,10,30,"25.9052","-80.1094"
"161",3166,2020,10,30,"25.7877","-80.1075"
"162",3167,2014,9,17,"25.9452","-80.0939"
"163",3174,2020,11,16,"25.7953","-80.0996"
"164",3175,2022,6,28,"25.9372","-80.111"
"165",3178,2020,10,30,"25.8929","-80.1171"
"166",3188,2022,8,12,"25.8346","-80.089"
"167",3191,2022,8,12,"25.8637","-80.0884"
"168",3192,2022,8,8,"25.8154","-80.0902"
"169",3213,2020,8,26,"25.7761","-80.0894"
"170",3229,2022,6,14,"25.8742","-80.0885"
"171",3231,2018,9,19,"25.9273","-80.0877"
"172",3242,2018,9,6,"25.9606","-80.0888"
"173",3243,2018,11,15,"25.8091","-80.0884"
"174",3257,2022,6,28,"25.9398","-80.0877"
"175",3263,2018,9,6,"25.9626","-80.0889"
"176",3269,2022,6,23,"25.785","-80.086"
"177",3270,2020,10,30,"25.8835","-80.0881"
"178",3271,2022,7,22,"25.8446","-80.0865"
"179",3272,2018,9,5,"25.7716","-80.0882"
"180",3278,2018,9,5,"25.7704","-80.0876"
"181",3288,2022,8,8,"25.763","-80.1252"
"182",3290,2022,6,14,"25.8772","-80.1018"
"183",3325,2020,8,26,"25.7773","-80.0951"
"184",3576,2014,10,20,"25.9163","-80.099"
"185",3577,2014,10,20,"25.9118","-80.0925"
"186",8018,2021,9,1,"25.3343","-80.2258"
"187",8019,2021,8,11,"25.3546","-80.1871"
"188",8028,2021,8,9,"25.5177","-80.1378"
"189",8033,2021,8,9,"25.5316","-80.1401"
"190",8036,2021,8,9,"25.4537","-80.1222"
"191",8050,2021,8,9,"25.4631","-80.1159"
"192",8056,2021,8,11,"25.3513","-80.1468"
"193",8060,2021,9,1,"25.2954","-80.1648"
"194",8061,2021,9,1,"25.5123","-80.0996"
"195",8064,2022,8,2,"25.3487","-80.2299"
"196",8066,2021,8,11,"25.3533","-80.143"
"197",8068,2022,9,1,"25.7127","-80.0872"
"198",8071,2022,8,31,"25.75","-80.1238"
"199",8073,2021,9,1,"25.54","-80.0943"
"200",8076,2022,9,1,"25.7142","-80.088"
"201",8124,2021,9,21,"25.6219","-80.093"
