"","PRIMARY_SAMPLE_UNIT","LAT_DEGREES","LON_DEGREES"
"167",3192,"25.8154","-80.0902"
"168",3213,"25.7761","-80.0894"
"169",3229,"25.8742","-80.0885"
"170",3231,"25.9273","-80.0877"
"171",3242,"25.9606","-80.0888"
"172",3243,"25.8091","-80.0884"
"173",3257,"25.9398","-80.0877"
"174",3263,"25.9626","-80.0889"
"175",3269,"25.7850","-80.0860"
"176",3270,"25.8835","-80.0881"
"177",3271,"25.8446","-80.0865"
"178",3272,"25.7716","-80.0882"
"179",3278,"25.7704","-80.0876"
"180",3288,"25.7630","-80.1252"
"181",3290,"25.8772","-80.1018"
"182",3325,"25.7773","-80.0951"
"183",3576,"25.9163","-80.0990"
"184",3577,"25.9118","-80.0925"
"185",8018,"25.3343","-80.2258"
"186",8019,"25.3546","-80.1871"
"187",8028,"25.5177","-80.1378"
"188",8033,"25.5316","-80.1401"
"189",8036,"25.4537","-80.1222"
"190",8050,"25.4631","-80.1159"
"191",8056,"25.3513","-80.1468"
"192",8060,"25.2954","-80.1648"
"193",8061,"25.5123","-80.0996"
"194",8064,"25.3487","-80.2299"
"195",8066,"25.3533","-80.1430"
"196",8068,"25.7127","-80.0872"
"197",8071,"25.7500","-80.1238"
"198",8073,"25.5400","-80.0943"
"199",8076,"25.7142","-80.0880"
"200",8124,"25.6219","-80.0930"
